zipcode,Price
 ,82.49999999999983
02108,214.74117647058824
02109,237.4406779661017
02110,186.53846153846158
02111,265.74074074074076
02113,183.5086206896552
02114,214.08490566037742
02115,188.83240223463687
02116,224.39413680781763
02118,204.0926829268293
02119,125.99137931034481
02120,115.31147540983608
02121,72.02439024390243
02122,112.5081967213115
02124,86.57303370786516
02125,108.41803278688526
02126,65.82608695652175
02127,199.5373134328358
02128,123.6127167630058
02129,227.80701754385964
02130,143.6070287539936
02131,94.61728395061729
02132,111.82222222222222
02134,96.63366336633663
02135,109.8391959798995
02136,84.6206896551724
02138,154.9999999999999
02139,267.0
02143,74.99999999999997
02145,51.75
02152,70.9999999999999
02163,92.49999999999997
02186,900.0000000000009
02199,138.50000000000003
02210,288.70270270270277
02215,172.4663461538462
02445,122.5
02446,208.4999999999999
02458,100.00000000000004
02467,77.85714285714285
02472,198.99999999999997
07306,59.999999999999986
10000,199.99999999999991
10001,228.74164133738603
10002,166.825
10003,209.0730769230769
10004,183.87037037037038
10005,183.73333333333332
10006,204.5517241379311
10007,369.58064516129025
10009,168.19885057471265
10010,220.4867924528302
10011,229.302034428795
10012,221.4426229508197
10013,239.3263473053892
10014,246.61824324324326
10016,213.52099236641223
10017,269.0880829015544
10018,231.65591397849465
10019,217.05927835051546
10021,177.3165137614679
10022,226.1863117870723
10023,220.76861702127658
10024,190.49462365591398
10025,149.28151260504202
10026,131.17127071823205
10027,127.94645669291339
10028,172.02962962962962
10029,115.364312267658
10030,116.31474103585656
10031,95.43207855973812
10032,92.46719160104986
10033,87.225
10034,85.92727272727272
10035,121.51304347826085
10036,209.83548387096778
10037,116.8881118881119
10038,175.16666666666666
10039,86.53846153846153
10040,84.84105960264903
10044,82.44067796610169
10048,109.00000000000007
10065,200.70718232044203
10069,302.3529411764708
10075,164.3820224719101
10106,302.0
10118,135.00000000000003
10119,1499.9999999999986
10128,163.15337423312883
10129,68.00000000000001
10162,285.00000000000057
10270,379.00000000000045
10279,480.0
10280,228.2
10281,237.50000000000023
10282,242.00000000000009
10301,118.3108108108108
10302,364.33333333333303
10303,140.4285714285714
10304,91.99999999999999
10305,120.15384615384613
10306,94.38461538461539
10307,305.80000000000024
10308,100.0
10309,245.0000000000001
10310,71.86666666666666
10312,135.9999999999998
10314,102.23076923076913
10451,92.88372093023257
10452,61.499999999999986
10453,58.74074074074074
10454,75.24
10455,85.05000000000001
10456,94.69696969696967
10457,82.21052631578947
10458,64.58823529411765
